Food,Category,Calories (per serving),Rasa (Taste),Guna (Qualities),Virya (Potency)
Barley,Dairy,26,Astringent,Light,Hot
Moong Dal,Dairy,228,Pungent,Warm,Hot
Yogurt,Legume,74,Pungent,Warm,Hot
Cashews,Dairy,61,Pungent,Light,Cold
Ghee,Legume,250,Astringent,Oily,Hot
Walnuts,Fruit,181,Astringent,Warm,Cold
Buttermilk,Dairy,29,Sweet,Light,Cold
Ginger,Dairy,70,Astringent,Warm,Cold
Oats,Vegetable,282,Bitter,Warm,Cold
Pomegranate,Fruit,15,Pungent,Heavy,Cold
Mango,Vegetable,203,Astringent,Cool,Cold
Moong Dal,Nut,149,Pungent,Dry,Cold
Ginger,Nut,223,Pungent,Warm,Hot
Carrot,Grain,194,Bitter,Dry,Hot
Broccoli,Vegetable,109,Pungent,Heavy,Cold
Oats,Spice,80,Bitter,Heavy,Cold
Cauliflower,Grain,79,Sweet,Cool,Hot
Oats,Nut,53,Bitter,Heavy,Cold
Ghee,Dairy,136,Astringent,Cool,Hot
Black Beans,Spice,252,Sour,Cool,Cold
Mango,Vegetable,20,Bitter,Heavy,Cold
Buttermilk,Grain,170,Sour,Warm,Hot
Lentils (Dal),Nut,148,Bitter,Heavy,Cold
Cucumber,Nut,252,Astringent,Dry,Hot
Spinach,Fruit,11,Astringent,Dry,Cold
Kidney Beans,Legume,171,Pungent,Heavy,Hot
Broccoli,Legume,186,Sweet,Cool,Cold
Coriander,Dairy,153,Sweet,Light,Hot
Oats,Spice,255,Sour,Warm,Cold
Oats,Nut,101,Pungent,Light,Hot
Buttermilk,Grain,2,Bitter,Dry,Cold
Cucumber,Legume,229,Sour,Heavy,Cold
Ginger,Nut,261,Sweet,Dry,Hot
Walnuts,Dairy,20,Bitter,Oily,Cold
Barley,Legume,91,Pungent,Light,Cold
Cumin,Spice,127,Sour,Oily,Hot
Milk,Legume,6,Astringent,Oily,Hot
Broccoli,Spice,169,Pungent,Warm,Hot
Kidney Beans,Nut,265,Astringent,Oily,Hot
Barley,Fruit,288,Pungent,Light,Cold
Lentils (Dal),Nut,45,Sour,Warm,Cold
Ghee,Legume,167,Bitter,Dry,Hot
Yogurt,Fruit,12,Bitter,Heavy,Hot
Lentils (Dal),Grain,172,Sour,Light,Cold
Apple,Nut,7,Pungent,Light,Cold
Walnuts,Fruit,70,Astringent,Light,Hot
Apple,Vegetable,37,Sweet,Oily,Cold
Ginger,Vegetable,67,Astringent,Dry,Hot
Moong Dal,Grain,234,Sweet,Dry,Cold
Broccoli,Dairy,109,Sour,Heavy,Hot
Moong Dal,Vegetable,142,Astringent,Warm,Hot
Ginger,Spice,264,Bitter,Warm,Hot
Cucumber,Spice,34,Sour,Warm,Hot
Oats,Fruit,226,Astringent,Warm,Hot
Ghee,Fruit,144,Sour,Warm,Cold
Quinoa,Nut,245,Bitter,Warm,Hot
Moong Dal,Fruit,192,Sweet,Oily,Cold
Cashews,Legume,205,Pungent,Warm,Cold
Moong Dal,Nut,260,Sweet,Light,Hot
Cauliflower,Nut,234,Astringent,Heavy,Cold
Moong Dal,Nut,20,Bitter,Warm,Cold
Brown Rice,Vegetable,185,Sour,Oily,Hot
Walnuts,Vegetable,285,Bitter,Dry,Hot
Walnuts,Fruit,221,Pungent,Oily,Cold
Spinach,Fruit,295,Sour,Warm,Cold
Oats,Nut,29,Astringent,Dry,Cold
Moong Dal,Nut,25,Sweet,Dry,Hot
Cashews,Grain,1,Astringent,Heavy,Hot
Moong Dal,Dairy,100,Astringent,Heavy,Cold
Carrot,Dairy,32,Sour,Warm,Hot
Ginger,Nut,50,Bitter,Dry,Hot
Ghee,Spice,23,Sour,Heavy,Hot
Moong Dal,Nut,169,Sour,Warm,Cold
Barley,Fruit,61,Sweet,Light,Cold
Walnuts,Vegetable,43,Astringent,Light,Cold
Spinach,Spice,110,Astringent,Dry,Cold
Pomegranate,Vegetable,239,Bitter,Light,Cold
Broccoli,Spice,101,Sweet,Light,Cold
Spinach,Fruit,21,Sour,Warm,Hot
Moong Dal,Dairy,90,Sweet,Oily,Hot
Broccoli,Fruit,95,Pungent,Oily,Hot
Banana,Nut,79,Sour,Cool,Hot
Broccoli,Fruit,280,Bitter,Cool,Cold
Lentils (Dal),Spice,48,Pungent,Oily,Cold
Chickpeas,Vegetable,113,Pungent,Cool,Cold
Pomegranate,Fruit,20,Pungent,Cool,Hot
Cauliflower,Fruit,236,Sour,Warm,Hot
Black Beans,Grain,108,Pungent,Oily,Cold
Mango,Nut,31,Astringent,Cool,Hot
Cashews,Fruit,16,Astringent,Warm,Cold
Kidney Beans,Nut,177,Bitter,Cool,Hot
Oats,Nut,15,Sweet,Warm,Hot
Oats,Dairy,64,Bitter,Oily,Hot
Banana,Nut,262,Pungent,Cool,Cold
Cashews,Fruit,156,Astringent,Cool,Hot
Coriander,Grain,69,Bitter,Warm,Cold
Cashews,Vegetable,227,Pungent,Dry,Hot
Milk,Fruit,155,Pungent,Heavy,Hot
Apple,Nut,93,Bitter,Warm,Hot
Oats,Nut,12,Bitter,Light,Hot
Ginger,Grain,61,Astringent,Light,Cold
Apple,Nut,295,Sour,Light,Cold
Cauliflower,Legume,12,Astringent,Cool,Cold
Turmeric,Vegetable,115,Sour,Dry,Cold
Black Beans,Dairy,42,Bitter,Dry,Cold
Oats,Legume,250,Pungent,Warm,Hot
Kidney Beans,Legume,60,Sweet,Cool,Hot
Black Beans,Legume,125,Bitter,Oily,Cold
Barley,Nut,97,Astringent,Cool,Cold
Ghee,Spice,163,Bitter,Cool,Cold
Ghee,Fruit,17,Bitter,Warm,Cold
Lentils (Dal),Fruit,236,Sweet,Dry,Hot
Lentils (Dal),Grain,28,Sour,Cool,Cold
Apple,Vegetable,203,Sour,Dry,Cold
Carrot,Legume,243,Pungent,Light,Cold
Milk,Fruit,164,Sweet,Heavy,Hot
Cumin,Dairy,17,Astringent,Cool,Hot
Carrot,Vegetable,215,Astringent,Cool,Hot
Banana,Grain,276,Bitter,Light,Hot
Almonds,Spice,168,Astringent,Light,Hot
Cashews,Vegetable,300,Sweet,Oily,Cold
Cauliflower,Grain,49,Astringent,Cool,Cold
Yogurt,Fruit,72,Pungent,Dry,Hot
Chickpeas,Vegetable,115,Sour,Dry,Hot
Moong Dal,Vegetable,217,Astringent,Dry,Hot
Lentils (Dal),Nut,164,Sour,Dry,Cold
Cumin,Legume,22,Sweet,Warm,Hot
Quinoa,Vegetable,159,Sour,Cool,Cold
Cucumber,Vegetable,96,Pungent,Oily,Cold
Lentils (Dal),Legume,38,Sweet,Oily,Cold
Walnuts,Dairy,228,Sweet,Heavy,Hot
Spinach,Spice,240,Bitter,Warm,Cold
Spinach,Legume,137,Astringent,Heavy,Cold
Pomegranate,Legume,18,Sweet,Oily,Cold
Milk,Legume,172,Sour,Warm,Hot
Apple,Nut,282,Sweet,Light,Cold
Cauliflower,Dairy,154,Sour,Warm,Cold
Almonds,Vegetable,119,Sour,Warm,Hot
Walnuts,Dairy,117,Pungent,Oily,Hot
Ginger,Grain,205,Sour,Light,Hot
Oats,Grain,191,Bitter,Oily,Hot
Walnuts,Spice,250,Pungent,Cool,Cold
Quinoa,Spice,147,Astringent,Warm,Cold
Milk,Dairy,31,Sour,Dry,Cold
Kidney Beans,Legume,273,Sweet,Heavy,Cold
Quinoa,Vegetable,273,Bitter,Dry,Cold
Cashews,Spice,59,Sweet,Oily,Cold
Chickpeas,Vegetable,57,Astringent,Oily,Cold
Cauliflower,Nut,166,Pungent,Dry,Hot
Ghee,Spice,284,Bitter,Cool,Cold
Cumin,Vegetable,260,Sweet,Dry,Cold
Cauliflower,Grain,174,Pungent,Oily,Cold
Carrot,Legume,129,Bitter,Warm,Cold
Broccoli,Legume,34,Sweet,Oily,Hot
Walnuts,Nut,48,Bitter,Warm,Cold
Carrot,Vegetable,258,Sour,Light,Hot
Yogurt,Legume,92,Sour,Warm,Hot
Pomegranate,Dairy,120,Pungent,Heavy,Hot
Turmeric,Legume,157,Pungent,Heavy,Hot
Mango,Vegetable,83,Sweet,Light,Cold
Yogurt,Grain,146,Sweet,Oily,Hot
Mango,Vegetable,18,Bitter,Heavy,Cold
Spinach,Dairy,261,Sour,Light,Cold
Broccoli,Grain,163,Sweet,Heavy,Hot
Cauliflower,Vegetable,32,Pungent,Heavy,Hot
Ghee,Grain,224,Astringent,Heavy,Cold
Moong Dal,Fruit,4,Sweet,Light,Cold
Cauliflower,Nut,298,Sour,Oily,Cold
Apple,Fruit,200,Sour,Oily,Hot
Cashews,Nut,266,Astringent,Oily,Cold
Spinach,Legume,20,Pungent,Light,Hot
Mango,Legume,23,Pungent,Warm,Hot
Pomegranate,Dairy,114,Pungent,Dry,Cold
Quinoa,Spice,100,Sweet,Oily,Cold
Cauliflower,Vegetable,233,Pungent,Oily,Hot
Turmeric,Vegetable,199,Bitter,Light,Cold
Carrot,Legume,273,Bitter,Cool,Hot
Milk,Dairy,103,Astringent,Cool,Hot
Oats,Nut,265,Pungent,Light,Hot
Ginger,Grain,166,Pungent,Oily,Cold
Ghee,Nut,14,Astringent,Warm,Cold
Cucumber,Vegetable,93,Astringent,Oily,Cold
Almonds,Spice,279,Pungent,Dry,Cold
Ginger,Spice,255,Bitter,Light,Hot
Cashews,Nut,138,Astringent,Oily,Cold
Carrot,Fruit,205,Astringent,Light,Hot
Turmeric,Fruit,68,Bitter,Cool,Cold
Cumin,Spice,192,Sour,Warm,Hot
Kidney Beans,Nut,278,Bitter,Dry,Hot
Banana,Fruit,237,Sweet,Cool,Hot
Carrot,Legume,59,Pungent,Warm,Hot
Mango,Grain,77,Sweet,Warm,Hot
Almonds,Dairy,183,Bitter,Heavy,Hot
Milk,Grain,42,Sweet,Oily,Hot
Spinach,Vegetable,115,Sour,Warm,Hot
Black Beans,Vegetable,97,Sour,Heavy,Cold
Coriander,Fruit,249,Bitter,Cool,Cold
Barley,Legume,48,Bitter,Oily,Hot
Turmeric,Dairy,183,Sweet,Oily,Hot
Quinoa,Legume,236,Pungent,Light,Cold
Pomegranate,Nut,127,Bitter,Cool,Hot
Almonds,Vegetable,61,Bitter,Heavy,Hot
Turmeric,Vegetable,166,Bitter,Dry,Hot
Kidney Beans,Legume,254,Bitter,Light,Cold
Broccoli,Grain,121,Pungent,Cool,Hot
Walnuts,Legume,197,Bitter,Cool,Cold
Cumin,Nut,250,Astringent,Light,Cold
Kidney Beans,Grain,264,Sour,Light,Hot
Broccoli,Legume,299,Sour,Oily,Cold
Cumin,Fruit,196,Astringent,Heavy,Cold
Chickpeas,Nut,261,Sour,Oily,Hot
Apple,Vegetable,142,Astringent,Oily,Hot
Buttermilk,Legume,148,Astringent,Light,Hot
Buttermilk,Dairy,55,Sweet,Warm,Cold
Coriander,Nut,171,Astringent,Warm,Cold
Kidney Beans,Fruit,202,Bitter,Cool,Cold
Turmeric,Vegetable,263,Bitter,Light,Hot
Lentils (Dal),Spice,196,Bitter,Cool,Cold
Oats,Dairy,6,Astringent,Cool,Hot
Ginger,Legume,148,Pungent,Dry,Hot
Cashews,Fruit,232,Sweet,Light,Cold
Ghee,Vegetable,28,Sweet,Oily,Cold
Spinach,Spice,154,Sweet,Warm,Cold
Banana,Nut,200,Astringent,Warm,Hot
Ghee,Fruit,222,Astringent,Heavy,Cold
Banana,Nut,248,Pungent,Cool,Hot
Banana,Fruit,63,Astringent,Heavy,Hot
Ginger,Fruit,170,Sour,Light,Hot
Yogurt,Vegetable,168,Sour,Cool,Cold
Quinoa,Spice,173,Pungent,Light,Cold
Cauliflower,Grain,118,Sweet,Heavy,Hot
Coriander,Grain,191,Pungent,Cool,Cold
Carrot,Grain,73,Pungent,Cool,Cold
Moong Dal,Grain,277,Sweet,Light,Cold
Cashews,Spice,49,Pungent,Dry,Cold
Apple,Grain,285,Sour,Dry,Cold
Ginger,Nut,236,Sweet,Heavy,Hot
Ghee,Vegetable,15,Bitter,Oily,Hot
Ghee,Nut,115,Sweet,Warm,Hot
Walnuts,Vegetable,50,Pungent,Heavy,Hot
Milk,Spice,45,Astringent,Warm,Cold
Oats,Spice,208,Sweet,Heavy,Cold
Lentils (Dal),Fruit,249,Astringent,Cool,Cold
Walnuts,Grain,35,Astringent,Light,Cold
Banana,Dairy,205,Sweet,Heavy,Hot
Banana,Grain,226,Sour,Oily,Hot
Almonds,Fruit,223,Sour,Heavy,Hot
Lentils (Dal),Spice,134,Bitter,Cool,Cold
Barley,Nut,106,Astringent,Oily,Cold
Cumin,Legume,290,Astringent,Heavy,Hot
Ghee,Dairy,254,Sweet,Light,Hot
Broccoli,Grain,198,Astringent,Light,Cold
Cauliflower,Nut,195,Pungent,Cool,Hot
Moong Dal,Dairy,239,Bitter,Dry,Hot
Spinach,Fruit,255,Astringent,Oily,Cold
Turmeric,Legume,207,Sweet,Dry,Cold
Oats,Spice,136,Pungent,Light,Cold
Pomegranate,Spice,213,Astringent,Oily,Cold
Broccoli,Nut,7,Bitter,Light,Hot
Turmeric,Fruit,72,Sour,Cool,Hot
Cumin,Spice,20,Sweet,Cool,Hot
Yogurt,Spice,105,Sour,Cool,Hot
Cashews,Legume,85,Astringent,Oily,Hot
Carrot,Spice,275,Sour,Heavy,Cold
Lentils (Dal),Grain,281,Pungent,Warm,Cold
Banana,Dairy,245,Pungent,Warm,Hot
Quinoa,Grain,142,Astringent,Oily,Cold
Quinoa,Vegetable,71,Pungent,Warm,Hot
Broccoli,Dairy,29,Pungent,Cool,Hot
Ginger,Grain,75,Sweet,Warm,Cold
Carrot,Dairy,48,Pungent,Warm,Hot
Broccoli,Dairy,2,Sweet,Oily,Hot
Cashews,Grain,224,Sour,Cool,Cold
Pomegranate,Grain,173,Sweet,Oily,Cold
Cashews,Legume,243,Sweet,Dry,Cold
Cumin,Nut,254,Sour,Warm,Cold
Banana,Legume,101,Bitter,Warm,Hot
Barley,Spice,110,Sweet,Cool,Hot
Ghee,Legume,55,Sweet,Oily,Hot
Buttermilk,Vegetable,95,Sour,Dry,Cold
Yogurt,Fruit,240,Sour,Dry,Hot
Moong Dal,Grain,151,Sour,Dry,Cold
Oats,Vegetable,270,Sweet,Dry,Hot
Pomegranate,Grain,140,Pungent,Light,Cold
Turmeric,Fruit,192,Pungent,Light,Hot
Oats,Vegetable,137,Astringent,Warm,Hot
Cauliflower,Fruit,280,Bitter,Dry,Hot
Milk,Nut,293,Sweet,Light,Cold
Moong Dal,Fruit,28,Astringent,Heavy,Cold
Cauliflower,Fruit,201,Pungent,Warm,Cold
Quinoa,Nut,57,Sweet,Heavy,Cold
Coriander,Grain,89,Pungent,Heavy,Hot
Chickpeas,Vegetable,210,Sweet,Oily,Hot
Mango,Grain,238,Sour,Cool,Hot
Banana,Dairy,266,Pungent,Light,Cold
Broccoli,Legume,155,Sweet,Light,Cold
Lentils (Dal),Nut,112,Astringent,Light,Hot
Almonds,Fruit,184,Sweet,Oily,Hot
Barley,Vegetable,255,Sour,Light,Cold
Mango,Dairy,16,Bitter,Oily,Hot
Cumin,Legume,61,Sour,Oily,Cold
Turmeric,Dairy,84,Sweet,Light,Cold
Coriander,Grain,98,Astringent,Light,Cold
Walnuts,Spice,176,Astringent,Oily,Cold
Carrot,Vegetable,248,Sour,Oily,Hot
Cashews,Fruit,207,Pungent,Light,Cold
Walnuts,Grain,194,Sweet,Warm,Hot
Lentils (Dal),Grain,213,Astringent,Oily,Hot
Lentils (Dal),Legume,209,Sweet,Warm,Cold
Spinach,Vegetable,85,Bitter,Warm,Cold
Cauliflower,Vegetable,149,Bitter,Heavy,Cold
Coriander,Nut,210,Pungent,Cool,Hot
Walnuts,Dairy,79,Sour,Heavy,Hot
Chickpeas,Grain,21,Sweet,Cool,Cold
Kidney Beans,Dairy,119,Astringent,Cool,Hot
Ghee,Vegetable,179,Sweet,Oily,Hot
Kidney Beans,Vegetable,189,Sour,Cool,Cold
Apple,Vegetable,198,Bitter,Dry,Cold
Chickpeas,Fruit,221,Pungent,Dry,Cold
Chickpeas,Fruit,38,Sweet,Heavy,Hot
Spinach,Vegetable,143,Bitter,Oily,Cold
Ghee,Fruit,142,Sour,Warm,Hot
Lentils (Dal),Dairy,166,Bitter,Heavy,Cold
Black Beans,Dairy,103,Pungent,Light,Hot
Pomegranate,Nut,232,Pungent,Cool,Cold
Kidney Beans,Spice,186,Pungent,Warm,Cold
Kidney Beans,Fruit,227,Bitter,Light,Hot
Brown Rice,Grain,115,Astringent,Light,Cold
Walnuts,Grain,174,Sour,Heavy,Cold
Carrot,Vegetable,67,Sour,Light,Cold
Banana,Dairy,129,Bitter,Dry,Cold
Chickpeas,Dairy,286,Astringent,Light,Hot
Milk,Legume,138,Pungent,Light,Hot
Brown Rice,Legume,72,Sour,Light,Hot
Spinach,Grain,293,Bitter,Oily,Hot
Lentils (Dal),Grain,43,Sweet,Oily,Hot
Buttermilk,Spice,147,Astringent,Cool,Hot
Cumin,Nut,146,Sour,Heavy,Hot
Cumin,Grain,112,Astringent,Light,Cold
Pomegranate,Spice,195,Bitter,Dry,Cold
Brown Rice,Spice,215,Sweet,Oily,Hot
Almonds,Nut,49,Astringent,Light,Cold
Banana,Nut,207,Astringent,Light,Hot
Brown Rice,Legume,250,Astringent,Oily,Cold
Cashews,Vegetable,117,Sweet,Oily,Hot
Almonds,Nut,56,Astringent,Dry,Hot
Brown Rice,Vegetable,162,Pungent,Light,Hot
Lentils (Dal),Vegetable,128,Astringent,Oily,Cold
Lentils (Dal),Spice,93,Pungent,Light,Cold
Brown Rice,Dairy,107,Sour,Dry,Cold
Cauliflower,Dairy,95,Pungent,Oily,Cold
Cashews,Nut,52,Astringent,Dry,Cold
Cashews,Dairy,113,Astringent,Heavy,Hot
Milk,Grain,148,Astringent,Oily,Cold
Kidney Beans,Legume,225,Astringent,Heavy,Cold
Carrot,Legume,69,Pungent,Light,Cold
Mango,Legume,54,Sweet,Cool,Cold
Lentils (Dal),Fruit,243,Astringent,Cool,Hot
Quinoa,Dairy,279,Sour,Warm,Cold
Moong Dal,Legume,64,Astringent,Cool,Cold
Pomegranate,Legume,29,Astringent,Cool,Cold
Turmeric,Spice,18,Pungent,Warm,Cold
Ginger,Fruit,270,Pungent,Cool,Hot
Pomegranate,Spice,266,Astringent,Heavy,Cold
Quinoa,Fruit,0,Pungent,Heavy,Hot
Cauliflower,Legume,148,Sour,Oily,Hot
Walnuts,Spice,23,Sweet,Cool,Cold
Ginger,Fruit,191,Bitter,Light,Cold
Apple,Legume,194,Bitter,Oily,Cold
Cauliflower,Legume,250,Astringent,Oily,Hot
Banana,Vegetable,297,Bitter,Light,Cold
Turmeric,Legume,239,Sweet,Warm,Hot
Pomegranate,Legume,282,Pungent,Heavy,Cold
Cumin,Legume,125,Pungent,Cool,Cold
Moong Dal,Grain,172,Bitter,Cool,Hot
Cucumber,Nut,206,Sweet,Cool,Cold
Oats,Grain,95,Astringent,Warm,Hot
Cucumber,Nut,41,Sour,Dry,Cold
Cashews,Grain,186,Astringent,Cool,Cold
Turmeric,Nut,34,Sweet,Warm,Hot
Ghee,Fruit,237,Sweet,Cool,Cold
Ghee,Spice,58,Bitter,Warm,Cold
Walnuts,Nut,57,Astringent,Light,Hot
Cucumber,Spice,68,Astringent,Light,Cold
Cauliflower,Grain,34,Sweet,Dry,Hot
Pomegranate,Fruit,140,Bitter,Dry,Cold
Turmeric,Legume,144,Sour,Dry,Hot
Ginger,Dairy,273,Bitter,Light,Hot
Banana,Spice,30,Astringent,Cool,Cold
Ghee,Grain,272,Astringent,Light,Hot
Oats,Dairy,69,Astringent,Cool,Hot
Pomegranate,Fruit,83,Sour,Warm,Cold
Lentils (Dal),Legume,266,Pungent,Cool,Cold
Oats,Vegetable,68,Sour,Oily,Cold
Milk,Grain,167,Bitter,Oily,Hot
Pomegranate,Grain,138,Bitter,Dry,Hot
Barley,Nut,124,Astringent,Light,Hot
Oats,Dairy,151,Bitter,Warm,Hot
Kidney Beans,Fruit,288,Pungent,Dry,Cold
Turmeric,Grain,110,Bitter,Light,Hot
Mango,Legume,177,Sour,Heavy,Hot
Banana,Legume,181,Sweet,Heavy,Cold
Carrot,Spice,118,Sweet,Dry,Cold
Barley,Fruit,0,Astringent,Light,Cold
Chickpeas,Grain,294,Sour,Dry,Cold
Buttermilk,Spice,114,Astringent,Heavy,Hot
Lentils (Dal),Grain,143,Astringent,Heavy,Hot
Walnuts,Spice,258,Sweet,Dry,Cold
Ginger,Fruit,127,Sour,Oily,Cold
Cucumber,Fruit,112,Bitter,Dry,Cold
Apple,Legume,129,Bitter,Light,Cold
Barley,Legume,85,Bitter,Dry,Cold
Ghee,Spice,121,Sour,Cool,Cold
Broccoli,Vegetable,138,Pungent,Light,Cold
Spinach,Vegetable,176,Sour,Warm,Cold
Quinoa,Spice,107,Sour,Cool,Cold
Turmeric,Legume,132,Sour,Light,Hot
Black Beans,Nut,192,Astringent,Light,Cold
Buttermilk,Fruit,278,Sweet,Cool,Hot
Buttermilk,Spice,14,Pungent,Oily,Hot
Kidney Beans,Vegetable,11,Sour,Light,Cold
Barley,Dairy,156,Sweet,Dry,Hot
Quinoa,Legume,34,Sweet,Dry,Hot
Turmeric,Vegetable,22,Bitter,Cool,Hot
Cauliflower,Fruit,224,Bitter,Heavy,Hot
Quinoa,Grain,147,Bitter,Light,Hot
Almonds,Legume,95,Sour,Light,Cold
Ghee,Dairy,240,Sour,Oily,Cold
Almonds,Fruit,25,Pungent,Oily,Hot
Turmeric,Legume,266,Sweet,Dry,Cold
Coriander,Grain,290,Bitter,Cool,Hot
Quinoa,Dairy,25,Sour,Heavy,Hot
Milk,Dairy,281,Sweet,Light,Hot
Mango,Nut,105,Pungent,Dry,Hot
Oats,Spice,125,Bitter,Heavy,Hot
Yogurt,Fruit,12,Sweet,Oily,Hot
Carrot,Vegetable,268,Sour,Warm,Hot
Barley,Spice,14,Pungent,Cool,Hot
Banana,Fruit,2,Astringent,Heavy,Hot
Spinach,Vegetable,154,Sour,Warm,Cold
Lentils (Dal),Dairy,161,Sour,Warm,Hot
Chickpeas,Grain,145,Astringent,Dry,Cold
Cucumber,Grain,278,Pungent,Heavy,Cold
Carrot,Vegetable,284,Bitter,Oily,Cold
